//Base stats data: 0 game number, 1 HP, 2 ATK, 3 DEF, 4 SPD, 5 SPATK, 6 SPDEF, 7 type, 8 type, 9 catch rate, 10 base EXP, 
// 11 HP EP, 12 ATK EP, 13 DEF EP, 14 SPD EP, 15 SPATK EP, 16 SPDEF EP, 17 gender, 18 base egg step,
//19 base tameness, 20 growth group, 21 egg group, 22 egg group, 23 ability, 24 ability, 25 color,
//26 D/P item 50%, 27 D/P item 5%, 28 Safari Zone Flag(?)
1,1,45,49,49,45,65,65,12,3,45,64,0,0,0,0,1,0,31,20,70,3,1,7,65,0,3,0,0,0
2,2,60,62,63,60,80,80,12,3,45,141,0,0,0,0,1,1,31,20,70,3,1,7,65,0,3,0,0,0
3,3,80,82,83,80,100,100,12,3,45,208,0,0,0,0,2,1,31,20,70,3,1,7,65,0,3,0,0,0
4,4,39,52,43,65,60,50,10,10,45,65,0,0,0,1,0,0,31,20,70,3,1,14,66,0,0,0,0,0
5,5,58,64,58,80,80,65,10,10,45,142,0,0,0,1,1,0,31,20,70,3,1,14,66,0,0,0,0,0
6,6,78,84,78,100,109,85,10,2,45,209,0,0,0,0,3,0,31,20,70,3,1,14,66,0,0,0,0,0
7,7,44,48,65,43,50,64,11,11,45,66,0,0,1,0,0,0,31,20,70,3,1,2,67,0,1,0,0,0
8,8,59,63,80,58,65,80,11,11,45,143,0,0,1,0,0,1,31,20,70,3,1,2,67,0,1,0,0,0
9,9,79,83,100,78,85,105,11,11,45,210,0,0,0,0,0,3,31,20,70,3,1,2,67,0,1,0,0,0
10,10,45,30,35,45,20,20,6,6,255,53,1,0,0,0,0,0,127,15,70,0,3,3,19,0,3,0,0,0
11,11,50,20,55,30,25,25,6,6,120,72,0,0,2,0,0,0,127,15,70,0,3,3,61,0,3,0,0,0
12,12,60,45,50,70,80,80,6,2,45,160,0,0,0,0,2,1,127,15,70,0,3,3,14,0,8,0,222,0
13,13,40,35,30,50,20,20,6,3,255,52,0,0,0,1,0,0,127,15,70,0,3,3,19,0,5,0,0,0
14,14,45,25,50,35,25,25,6,3,120,71,0,0,2,0,0,0,127,15,70,0,3,3,61,0,2,0,0,0
15,15,65,80,40,75,45,80,6,3,45,159,0,2,0,0,0,1,127,15,70,0,3,3,68,0,2,0,245,0
16,16,40,45,40,56,35,35,0,2,255,55,0,0,0,1,0,0,127,15,70,3,4,4,51,77,5,0,0,0
17,17,63,60,55,71,50,50,0,2,120,113,0,0,0,2,0,0,127,15,70,3,4,4,51,77,5,0,0,0
18,18,83,80,75,91,70,70,0,2,45,172,0,0,0,3,0,0,127,15,70,3,4,4,51,77,5,0,0,0
19,19,30,56,35,72,25,35,0,0,255,57,0,0,0,1,0,0,127,15,70,0,5,5,50,62,6,0,200,0
20,20,55,81,60,97,50,70,0,0,127,116,0,0,0,2,0,0,127,15,70,0,5,5,50,62,5,0,200,0
21,21,40,60,30,70,31,31,0,2,255,58,0,0,0,1,0,0,127,15,70,0,4,4,51,0,5,0,0,0
22,22,65,90,65,100,61,61,0,2,90,162,0,0,0,2,0,0,127,15,70,0,4,4,51,0,5,0,244,0
23,23,35,60,44,55,40,54,3,3,255,62,0,1,0,0,0,0,127,20,70,0,5,14,22,61,6,0,0,0
24,24,60,85,69,80,65,79,3,3,90,147,0,2,0,0,0,0,127,20,70,0,5,14,22,61,6,0,0,60
25,25,35,55,30,90,50,40,13,13,190,82,0,0,0,2,0,0,127,10,70,0,5,6,9,0,2,155,236,0
26,26,60,90,55,100,90,80,13,13,75,122,0,0,0,3,0,0,127,10,70,0,5,6,9,0,2,0,155,0
27,27,50,75,85,40,20,30,4,4,255,93,0,0,1,0,0,0,127,20,70,0,5,5,8,0,2,0,217,0
28,28,75,100,110,65,45,55,4,4,90,163,0,0,2,0,0,0,127,20,70,0,5,5,8,0,2,0,217,0
29,29,55,47,52,41,40,40,3,3,235,59,1,0,0,0,0,0,254,20,70,3,1,5,38,79,1,0,0,0
30,30,70,62,67,56,55,55,3,3,120,117,2,0,0,0,0,0,254,20,70,3,15,15,38,79,1,0,0,0
31,31,90,82,87,76,75,85,3,4,45,194,3,0,0,0,0,0,254,20,70,3,15,15,38,79,1,0,0,0
32,32,46,57,40,50,40,40,3,3,235,60,0,1,0,0,0,0,0,20,70,3,1,5,38,79,6,0,0,0
33,33,61,72,57,65,55,55,3,3,120,118,0,2,0,0,0,0,0,20,70,3,1,5,38,79,6,0,0,0
34,34,81,92,77,85,85,75,3,4,45,195,0,3,0,0,0,0,0,20,70,3,1,5,38,79,6,0,0,0
35,35,70,45,48,35,60,65,0,0,150,68,2,0,0,0,0,0,191,10,140,4,6,6,56,98,9,154,81,0
36,36,95,70,73,60,85,90,0,0,25,129,3,0,0,0,0,0,191,10,140,4,6,6,56,98,9,154,81,0
37,37,38,41,40,65,50,65,10,10,190,63,0,0,0,1,0,0,191,20,70,0,5,5,18,0,5,152,152,0
38,38,73,76,75,100,81,100,10,10,75,178,0,0,0,1,0,1,191,20,70,0,5,5,18,0,2,152,152,0
39,39,115,45,20,20,45,25,0,0,170,76,2,0,0,0,0,0,191,10,70,4,6,6,56,0,9,0,0,0
40,40,140,70,45,45,75,50,0,0,50,109,3,0,0,0,0,0,191,10,70,4,6,6,56,0,9,0,0,0
41,41,40,45,35,55,30,40,3,2,255,54,0,0,0,1,0,0,127,15,70,0,4,4,39,0,6,0,0,0
42,42,75,80,70,90,65,75,3,2,90,171,0,0,0,2,0,0,127,15,70,0,4,4,39,0,6,0,0,0
43,43,45,50,55,30,75,65,12,3,255,78,0,0,0,0,1,0,127,20,70,3,7,7,34,0,1,0,0,0
44,44,60,65,70,40,85,75,12,3,120,132,0,0,0,0,2,0,127,20,70,3,7,7,34,0,1,0,0,0
45,45,75,80,85,50,100,90,12,3,45,184,0,0,0,0,3,0,127,20,70,3,7,7,34,0,0,0,0,0
46,46,35,70,55,25,45,55,6,12,190,70,0,1,0,0,0,0,127,20,70,0,3,7,27,87,0,86,87,120
47,47,60,95,80,30,60,80,6,12,75,128,0,2,1,0,0,0,127,20,70,0,3,7,27,87,0,86,87,0
48,48,60,55,50,45,40,55,6,3,190,75,0,0,0,0,0,1,127,20,70,0,3,3,14,110,6,0,0,0
49,49,70,65,60,90,90,75,6,3,75,138,0,0,0,1,1,0,127,20,70,0,3,3,19,110,6,0,295,0
50,50,10,55,25,95,35,45,4,4,255,81,0,0,0,1,0,0,127,20,70,0,5,5,8,71,5,0,237,0
51,51,35,80,50,120,50,70,4,4,50,153,0,0,0,2,0,0,127,20,70,0,5,5,8,71,5,0,237,0
52,52,40,45,35,90,40,40,0,0,255,69,0,0,0,1,0,0,127,20,70,0,5,5,53,101,2,0,217,0
53,53,65,70,60,115,65,65,0,0,90,148,0,0,0,2,0,0,127,20,70,0,5,5,7,101,2,0,217,0
54,54,50,52,48,55,65,50,11,11,190,80,0,0,0,0,1,0,127,20,70,0,2,5,6,13,2,0,0,90
55,55,80,82,78,85,95,80,11,11,75,174,0,0,0,0,2,0,127,20,70,0,2,5,6,13,1,0,0,60
56,56,40,80,35,70,35,45,1,1,190,74,0,1,0,0,0,0,127,20,70,0,5,5,72,83,5,0,193,0
57,57,65,105,60,95,60,70,1,1,75,149,0,2,0,0,0,0,127,20,70,0,5,5,72,83,5,0,193,0
58,58,55,70,45,60,70,50,10,10,190,91,0,1,0,0,0,0,63,20,70,5,5,5,22,18,5,152,152,0
59,59,90,110,80,95,100,80,10,10,75,213,0,2,0,0,0,0,63,20,70,5,5,5,22,18,5,152,152,0
60,60,40,50,40,90,40,40,11,11,255,77,0,0,0,1,0,0,127,20,70,3,2,2,11,6,1,0,0,0
61,61,65,65,65,90,50,50,11,11,120,131,0,0,0,2,0,0,127,20,70,3,2,2,11,6,1,0,221,0
62,62,90,85,95,70,70,90,11,1,45,185,0,0,3,0,0,0,127,20,70,3,2,2,11,6,1,0,221,0
63,63,25,20,15,90,105,55,14,14,200,75,0,0,0,0,1,0,63,20,70,3,8,8,28,39,5,0,248,0
64,64,40,35,30,105,120,70,14,14,100,145,0,0,0,0,2,0,63,20,70,3,8,8,28,39,5,0,248,0
65,65,55,50,45,120,135,85,14,14,50,186,0,0,0,0,3,0,63,20,70,3,8,8,28,39,5,0,248,0
66,66,70,80,50,35,35,35,1,1,180,75,0,1,0,0,0,0,63,20,70,3,8,8,62,99,7,0,0,0
